date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2025-12-19,116380,45775,0.36810922992900047,4.86783771881868,-2.1874979600263957,4.210655141264877,453821,440952,26828,5634,5531,7782,7427,-7.910636865490777,0.2908356089568542,0.17000546149645002,0.41832878208629165,0.44326344732771955,-2.0644901254599484
2025-12-20,72879,30139,0.34698895119280665,4.856369827340631,-2.2633435574260967,4.058998335285363,325972,317986,17914,3447,3928,4850,4604,-8.1248696785404,0.2912505391685192,0.16092106572878995,0.4174989216629616,0.3383484954513646,-2.1753652376389967
2025-12-21,55956,20751,0.5294877355308177,4.666299307452223,-1.858858569252457,4.051957405884031,215344,207811,13161,2146,2481,2963,2840,-8.174612676056338,0.262348802467351,0.14278829935906703,0.47530239506529803,0.3807759668310815,-2.0586206670877516
2025-12-22,95920,36146,0.5345294085099319,4.754096089307896,-1.924330964018061,4.23570248203803,343320,333464,21872,4325,4324,5625,5259,-7.908918045255752,0.2752448403696121,0.15561887899075968,0.4495103192607757,0.49302231025854876,-1.9496045113996172
2025-12-23,106041,41389,0.5473410809635411,4.726420673149784,-2.2205051286232753,4.154429894086285,376679,366950,24598,5214,5241,6336,5984,-7.773512700534759,0.2797120007731523,0.1530841527942207,0.44057599845369544,0.42915947605171584,-2.2680632907874307
2025-12-24,90215,34587,0.39064099228033655,4.869523401039975,-2.28593277596837,4.139542815646275,353877,338882,19971,4329,4514,5773,5408,-7.869896449704141,0.297423887587822,0.16691242374302484,0.405152224824356,0.36853405752923574,-2.26066265459248
2025-12-25,57903,20142,0.3552328467878066,4.790720779124318,-1.898598951046628,4.14924975549536,188807,183771,12120,2342,2437,3243,3067,-8.089501141180307,0.28199781550987985,0.16100685135537682,0.4360043689802403,0.3415954268345336,-1.7925744424283414
2025-12-26,69177,26465,0.3247383336482146,4.905639051768219,-2.211832561357011,4.016841095590247,305987,299358,15864,2911,3385,4305,4126,-8.329883664566166,0.29057245418477234,0.16266767428679388,0.4188550916304553,0.25446897090073295,-2.292953443914969
2025-12-27,61440,23211,0.34599543319977594,4.829645077627507,-2.224281437005698,3.8257091797976295,221453,215639,14095,2544,2871,3701,3528,-8.264540816326532,0.28314161388996595,0.15945026065227694,0.43371677222006805,0.23674804687499998,-2.316141775367536
2025-12-28,57970,21610,0.684571957427117,4.695601656595626,-2.0727857201190094,3.645198498225931,220150,215348,13786,2314,2630,2880,2706,-8.425720620842572,0.25497454881999077,0.13327163350300786,0.4900509023600185,0.41361048818354323,-2.281184312136421
